company,current market status
Reliance Industries Ltd.,-0.39%
Tata Consultancy Services Ltd.,0.37%
HDFC Bank Ltd.,0.05%
Hindustan Unilever Ltd.,0.21%
ITC Ltd.,0.60%
Infosys Ltd.,0.98%
Housing Development Finance Corporation Ltd.,0.96%
State Bank Of India,1.19%
Kotak Mahindra Bank Ltd.,1.17%
ICICI Bank Ltd.,1.35%
Maruti Suzuki India Ltd.,1.48%
Oil & Natural Gas Corporation Ltd.,0.17%
Larsen & Toubro Ltd.,1.09%
Axis Bank Ltd.,-0.88%
Bajaj Finance Ltd.,0.60%
Coal India Ltd.,1.77%
HCL Technologies Ltd.,-0.04%
Asian Paints Ltd.,-0.92%
Bharti Airtel Ltd.,-3.43%
NTPC Ltd.,1.02%
Sun Pharmaceutical Industries Ltd.,0.64%
Power Grid Corporation Of India Ltd.,0.38%
IndusInd Bank Ltd.,2.94%
Bajaj Auto Ltd.,-1.16%
Mahindra & Mahindra Ltd.,0.43%
Vedanta Ltd.,2.24%
Tata Steel Ltd.,1.17%
Yes Bank Ltd.,2.68%
Hero MotoCorp Ltd.,1.47%
Tata Motors Ltd.,1.27%
